source,source_job_id,company,title,location,latitude,longitude,employment_type,workplace_type,detected_intents,course_scores,url
lever,3a3fcf3f-71fc-4dff-97f0-e20a37a5c598,Shield AI,"Executive Assistant, Marketing (R5304)","San Mateo, California",14.6982,121.1236,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 59, ""data_science"": 0}",https://jobs.lever.co/shieldai/3a3fcf3f-71fc-4dff-97f0-e20a37a5c598
lever,28136dd4-edd8-4da6-a6a1-7ce139654c96,Shield AI,"Field Marketing Manager, India",New Delhi,28.65195,77.23149,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 0, ""administration"": 59, ""data_science"": 0}",https://jobs.lever.co/shieldai/28136dd4-edd8-4da6-a6a1-7ce139654c96
lever,1d5df8ea-78b9-45b8-af18-2c33b52bb7ef,Shield AI,Field Solutions Engineer,Amsterdam,52.37403,4.88969,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 12, ""data_science"": 0}",https://jobs.lever.co/shieldai/1d5df8ea-78b9-45b8-af18-2c33b52bb7ef
lever,ad1ca43e-93d8-4953-900e-4a0ad8cbcca4,Shield AI,Field Solutions Engineer (R5632),Athens,37.98376,23.72784,International EOR,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 54, ""data_science"": 0}",https://jobs.lever.co/shieldai/ad1ca43e-93d8-4953-900e-4a0ad8cbcca4
lever,c71d4278-e8af-4d66-ba49-80670cccfc3c,Shield AI,Flight Test Engineer (R5898),Wichita Metro Area,37.69224,-97.33754,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/c71d4278-e8af-4d66-ba49-80670cccfc3c
lever,be759f6f-2a84-4088-961b-abd36444d77c,Shield AI,Flight Test Instrumentation Engineer (R5009),Wichita Metro Area,37.69224,-97.33754,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 12, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/be759f6f-2a84-4088-961b-abd36444d77c
lever,7d6a8fe1-66eb-4771-9e1d-0182490d0cd5,Shield AI,Forward Deployed Engineer (5021),London,51.50853,-0.12574,International Office Entity,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/7d6a8fe1-66eb-4771-9e1d-0182490d0cd5
lever,41c56241-9a9c-473f-a5a2-b11000aa0c23,Shield AI,"Forward Deployed Engineer, Operations & Sustainment (R5497)","San Diego, California",32.71571,-117.16472,Full Time Employee,hybrid,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 17, ""administration"": 17, ""data_science"": 0}",https://jobs.lever.co/shieldai/41c56241-9a9c-473f-a5a2-b11000aa0c23
lever,c57970ab-e013-4e38-b8f0-3815c500b98a,Shield AI,"Government Relations Manager - UK, Nordics and Benelux (R5217)",London,51.50853,-0.12574,International Office Entity,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/c57970ab-e013-4e38-b8f0-3815c500b98a
lever,cf148e69-2ca0-4bfd-a4cc-af214bfcce8a,Shield AI,Ground Control Station (GCS) Software Engineer (R3963),"Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 79, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/cf148e69-2ca0-4bfd-a4cc-af214bfcce8a
